captured_at,surface,period,rank,title,book_id,category,displayed_value,value_type,source_url
2026-08-31T13:30:00+08:00,male_current_click,current,29,都市怪谈……,,,43,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,30,太古通玄录,,,41,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,1,修罗武神,,,16077,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,2,星痕之门,3583700,时空穿梭,2691,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,3,万古第一神,3006464,东方玄幻,2476,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,4,混沌剑神,83528,异界大陆,1636,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,5,九星霸体诀,1398783,异界大陆,1553,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,6,女总裁的全能兵王,1741975,都市激战,1146,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,7,百炼飞升录,,,492,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,8,神级插班生,,,195,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,9,让你当收尸人……,,,184,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_long_popularity,current,10,重生之狂暴火法,,,180,popularity_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,1,大宋三十六将,3675375,架空历史,213,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,2,大明之三十六将,,历史穿越,115,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,3,校园无敌贴身高手,,都市异能,81,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,4,寒门弃子,,,63,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,5,瀚海归尘,,,60,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,6,太古通玄录,,,41,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,7,谍海传奇唐生明,,,39,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,8,焚书劫,,,34,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,9,一口粮,3672220,,22,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_free_new,current,10,天生阴官,,,12,click_display,https://www.17k.com/man/
